Date/Time,Word Count,de-DE,en,ko-KR,ru-RU,zh-TW
2023.07.16-16.25.19,3927,0,3927,0,0,0
2025.10.17-09.42.35,6054,0,6054,0,0,0
2025.12.24-14.21.39,6148,0,6148,0,0,0
2026.01.16-14.11.47,5876,0,5876,0,0,0
2026.01.18-16.17.48,6440,0,6440,0,0,0
2026.01.18-16.19.02,6421,0,6421,0,0,0
2026.01.18-16.21.18,6393,0,6393,0,0,0
2026.01.19-12.26.40,6396,0,6396,0,0,0
2026.01.19-13.19.17,5909,0,5909,0,0,0
2026.01.20-10.01.57,5937,0,5937,0,0,0
2026.02.28-22.03.21,5950,0,5950,0,0,0
2026.03.01-23.27.55,5950,907,5950,1517,918,1517
2026.03.11-09.17.15,6024,907,6024,1517,918,1517
2026.03.11-09.22.54,6043,907,6043,1517,918,1517
2026.03.28-16.51.04,6210,907,6210,1517,918,1517
2026.05.25-14.05.28,6337,907,6337,1517,918,1517
